rule_id,rule_name,display_name,category,table_name,retailer,field1,field2,validation_type,condition,threshold,error_message,select_fields,query
11,reviews_ratings_count_mismatch_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,count_of_reviews,count_of_star_ratings,cross_count_mismatch,Amazon/Walmart: count_of_reviews > count_of_star_ratings | Bestbuy: count_of_reviews != count_of_star_ratings,,count_of_reviews와 count_of_star_ratings 값 불일치,count_of_reviews|count_of_star_ratings,"SELECT id, item, account_name, page_type, crawl_strdatetime, count_of_reviews, count_of_star_ratings, product_url FROM {table} WHERE DATE({date_col}) = %s AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND count_of_star_ratings IS NOT NULL AND count_of_star_ratings != '' AND count_of_star_ratings NOT IN ({no_review_texts}) AND ((account_name IN ('Amazon', 'Walmart') AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER)) OR (account_name = 'Bestbuy' AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) != CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER)))"
12,review_content_existence_mismatch_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,count_of_reviews,detailed_review_content,cross_null,"(리뷰수>0 AND 본문없음) OR (리뷰수=0 AND 본문있음)",,리뷰 수와 본문 존재 여부 불일치,count_of_reviews|detailed_review_content,"SELECT id, item, account_name, page_type, crawl_strdatetime, count_of_reviews, detailed_review_content, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > 0 AND (detailed_review_content IS NULL OR detailed_review_content = '' OR detailed_review_content IN ({no_review_texts}))) OR ((count_of_reviews IS NULL OR count_of_reviews = '' OR count_of_reviews = '0' OR count_of_reviews IN ({no_review_texts}) OR CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) = 0) AND detailed_review_content IS NOT NULL AND detailed_review_content != '' AND detailed_review_content NOT IN ({no_review_texts})))"
13,review_content_count_mismatch_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,count_of_reviews,detailed_review_content,cross_detail_mismatch,count_of_reviews > 0 AND 본문 있지만 리뷰수만큼 없음,,리뷰 본문 개수 부족,count_of_reviews|detailed_review_content,"SELECT id, item, account_name, page_type, crawl_strdatetime, count_of_reviews, detailed_review_content, product_url FROM {table} WHERE DATE({date_col}) = %s AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > 0 AND detailed_review_content IS NOT NULL AND detailed_review_content != '' AND detailed_review_content NOT IN ({no_review_texts})"
14,sentiment_review_mismatch_tv,TV Sentiment 논리적 일관성,tv_sentiment,tv_retail_sentiment,all,sentiment_score,count_of_reviews,cross_sentiment,sentiment_score IS NOT NULL AND (count_of_reviews IS NULL OR count_of_reviews = '' OR count_of_reviews = '0' OR count_of_reviews IN no_review_texts),,sentiment 점수가 있는데 원본 리뷰 수가 NULL/빈값/0/리뷰없음,sentiment_score|count_of_reviews,"SELECT s.id, r.item, r.account_name, r.page_type, r.crawl_datetime, s.sentiment_score, r.count_of_reviews, r.product_url FROM tv_retail_sentiment s JOIN tv_retail_com r ON s.retail_com_id = r.id WHERE DATE(r.crawl_datetime::timestamp) = %s AND s.sentiment_score IS NOT NULL AND LOWER(s.sentiment_score::text) NOT IN ('none', 'null', '') AND (r.count_of_reviews IS NULL OR r.count_of_reviews = '' OR r.count_of_reviews = '0' OR r.count_of_reviews IN ({no_review_texts}))"
15,sentiment_review_mismatch_hhp,HHP Sentiment 논리적 일관성,hhp_sentiment,hhp_retail_sentiment,all,sentiment_score,count_of_reviews,cross_sentiment,sentiment_score IS NOT NULL AND (count_of_reviews IS NULL OR count_of_reviews = '' OR count_of_reviews = '0' OR count_of_reviews IN no_review_texts),,sentiment 점수가 있는데 원본 리뷰 수가 NULL/빈값/0/리뷰없음,sentiment_score|count_of_reviews,"SELECT s.id, r.item, r.account_name, r.page_type, r.crawl_strdatetime, s.sentiment_score, r.count_of_reviews, r.product_url FROM hhp_retail_sentiment s JOIN hhp_retail_com r ON s.retail_com_id = r.id WHERE DATE(r.crawl_strdatetime::timestamp) = %s AND s.sentiment_score IS NOT NULL AND LOWER(s.sentiment_score::text) NOT IN ('none', 'null', '') AND (r.count_of_reviews IS NULL OR r.count_of_reviews = '' OR r.count_of_reviews = '0' OR r.count_of_reviews IN ({no_review_texts}))"
16,comp_brand_logic,Comp Product 자사/경쟁사 구분,comp_product,market_comp_product,all,samsung_series_name,comp_brand,cross_comp,samsung_series_name에 comp_brand가 포함된 논리 오류,,samsung_series_name에 comp_brand가 포함된 논리 오류,samsung_series_name|comp_brand|comp_product_name,"SELECT id, samsung_series_name, comp_brand, comp_product_name, created_at FROM market_comp_product WHERE batch_id = (SELECT batch_id FROM market_comp_product WHERE created_at >= DATE_TRUNC('month', %s::date) ORDER BY batch_id DESC LIMIT 1) AND LOWER(samsung_series_name) LIKE '%%' || LOWER(comp_brand) || '%%'"
17,bestbuy_review_top_mentions_tv,TV 논리적 일관성,tv_retail,tv_retail_com,Bestbuy,count_of_reviews,top_mentions,cross_null,Bestbuy: count_of_reviews >= 20 AND top_mentions IS NULL,,리뷰 수가 20개 이상인데 top_mentions가 없음,count_of_reviews|top_mentions,"SELECT id, item, account_name, page_type, crawl_datetime, count_of_reviews, top_mentions, product_url FROM {table} WHERE DATE({date_col}) = %s AND account_name = 'Bestbuy' AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) >= 20 AND (top_mentions IS NULL OR top_mentions = '' OR top_mentions IN ({no_review_texts}))"
18,bestbuy_star_recommendation_tv,TV 논리적 일관성,tv_retail,tv_retail_com,Bestbuy,star_rating,recommendation_intent,cross_null,Bestbuy: star_rating 존재(리뷰없음 아님) AND recommendation_intent IS NULL,,별점이 있는데 recommendation_intent가 없음,star_rating|count_of_star_ratings|recommendation_intent,"SELECT id, item, account_name, page_type, crawl_datetime, star_rating, count_of_star_ratings, recommendation_intent, product_url FROM {table} WHERE DATE({date_col}) = %s AND account_name = 'Bestbuy' AND star_rating IS NOT NULL AND star_rating != '' AND star_rating NOT IN ({no_review_texts}) AND (recommendation_intent IS NULL OR recommendation_intent = '' OR recommendation_intent IN ({no_review_texts}))"
19,bestbuy_review_top_mentions_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,Bestbuy,count_of_reviews,top_mentions,cross_null,Bestbuy: count_of_reviews >= 20 AND top_mentions IS NULL,,리뷰 수가 20개 이상인데 top_mentions가 없음,count_of_reviews|top_mentions,"SELECT id, item, account_name, page_type, crawl_strdatetime, count_of_reviews, top_mentions, product_url FROM {table} WHERE DATE({date_col}) = %s AND account_name = 'Bestbuy' AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) >= 20 AND (top_mentions IS NULL OR top_mentions = '' OR top_mentions IN ({no_review_texts}))"
20,bestbuy_star_recommendation_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,Bestbuy,star_rating,recommendation_intent,cross_null,Bestbuy: star_rating 존재(리뷰없음 아님) AND recommendation_intent IS NULL,,별점이 있는데 recommendation_intent가 없음,star_rating|count_of_star_ratings|recommendation_intent,"SELECT id, item, account_name, page_type, crawl_strdatetime, star_rating, count_of_star_ratings, recommendation_intent, product_url FROM {table} WHERE DATE({date_col}) = %s AND account_name = 'Bestbuy' AND star_rating IS NOT NULL AND star_rating != '' AND star_rating NOT IN ({no_review_texts}) AND (recommendation_intent IS NULL OR recommendation_intent = '' OR recommendation_intent IN ({no_review_texts}))"
